"nombre_discurso","topico","palabras","probabilidades"
"Bolivia_2018_Evo_Morales","Topico_4","['ciento', 'coca', 'hermanos', 'bolivia', 'quiero', 'ahora', 'hermanas', 'mundial', 'gobiernos', 'mil', 'hectáreas', 'tema', 'bolivianos', 'mucha', 'resultados', 'siempre', 'respetado', 'post', 'económicamente', 'unidas']","[0.021879792, 0.014596975, 0.012769884, 0.012646371, 0.010405598, 0.009669904, 0.009639988, 0.009572836, 0.009314263, 0.0074982573, 0.0071123345, 0.0066001606, 0.006580632, 0.0065806243, 0.006580589, 0.0065805838, 0.0065805744, 0.0065805735, 0.006580545, 0.0065338816]"
"Bolivia_2018_Evo_Morales","Topico_5","['millones', 'gobiernos', 'hermanas', 'dólares', 'municipales', '2018', '2005', 'apoyo', 'internacionales', '2017', 'ciento', 'año', 'cumplir', 'crédito', 'puede', 'departamentales', 'bolivianos', 'policía', 'ffaa', 'opiniones']","[0.020155396, 0.020049123, 0.018869245, 0.013329578, 0.012574419, 0.0106684, 0.008964366, 0.008963969, 0.008963969, 0.0089639155, 0.008963793, 0.008963785, 0.008696933, 0.008674972, 0.008628058, 0.008092384, 0.006072183, 0.004806807, 0.0048032226, 0.004789123]"
"Bolivia_2018_Evo_Morales","Topico_6","['quiero', 'hermanos', 'hermanas', 'gobierno', 'bolivia', 'aplausos', 'nacional', 'potosí', '2018', 'decirles', 'contrabando', 'datos', 'inversión', 'presidente', 'plurinacional', 'internacional', 'lucha', 'pública', 'ciento', 'hace']","[0.015203349, 0.01515038, 0.015104791, 0.01277271, 0.01269894, 0.012669107, 0.010781876, 0.010752738, 0.009213837, 0.008755736, 0.008676763, 0.008673397, 0.0086720325, 0.00854855, 0.008539166, 0.006605486, 0.006605479, 0.006605397, 0.0066053797, 0.0065647145]"
"Bolivia_2018_Evo_Morales","Topico_7","['aplausos', 'bolivia', 'evo', 'hermanos', 'hermanas', 'tupiza', 'chile', 'bolivianos', 'tarija', 'hacia', 'seguro', 'millones', 'aclamaciones', 'participación', 'si', 'nacional', 'contrabando', '2018', 'pueblo', 'potosí']","[0.029431487, 0.015690977, 0.013435288, 0.011435887, 0.009252403, 0.009124678, 0.009124603, 0.008444526, 0.00692219, 0.006922126, 0.006921999, 0.0069029285, 0.0068835304, 0.006873071, 0.006857529, 0.006845741, 0.006795852, 0.005488415, 0.004811417, 0.004749433]"
"Bolivia_2019_Evo_Morales","Topico_1","['hermanas', 'aplausos', 'hermanos', 'quiero', 'mejor', 'kilómetros', 'trinidad', 'construcción', 'decirles', 'sólo', 'sino', 'internacional', 'país', 'historia', 'plan', 'bolivia', 'sector', 'beni', 'departamento', 'plantas']","[0.0149163725, 0.012933921, 0.012927073, 0.010739845, 0.008637038, 0.006753122, 0.006741273, 0.0067317346, 0.0067125345, 0.0067107663, 0.0066415174, 0.0066391095, 0.0065935715, 0.006574722, 0.0065626353, 0.0065299794, 0.0046529546, 0.004632342, 0.0046082092, 0.004584019]"
"Bolivia_2019_Evo_Morales","Topico_2","['gracias', 'bolivia', 'nivel', 'aplausos', 'recursos', 'plantas', 'tres', 'segundo', 'país', 'naturales', 'producción', 'nacionalización', 'alimentos', 'muchas', 'política', 'construir', 'mayores', 'san', 'plurinacional', 'fuerte']","[0.012806146, 0.011235963, 0.009429475, 0.007759023, 0.00756631, 0.007439384, 0.0073733185, 0.005780487, 0.005772411, 0.0057394756, 0.0056889798, 0.0056846556, 0.00565745, 0.0055717486, 0.0039620437, 0.0039606583, 0.0039422833, 0.003940144, 0.003934286, 0.003930699]"
"Bolivia_2019_Evo_Morales","Topico_3","['beni', 'millones', 'dólares', 'inaugurado', 'país', 'aplausos', 'libre', 'fertilizantes', 'ahora', 'digno', 'ii', 'puentes', 'pasadas', 'i', 'decir', 'quiero', 'hermanos', 'bien', 'pueblo', 'nacional']","[0.01790991, 0.01309178, 0.012935903, 0.010942256, 0.01084636, 0.0076595894, 0.0075574373, 0.0075160316, 0.0075160097, 0.007515991, 0.0074771754, 0.0074642976, 0.007452165, 0.0074498923, 0.007364421, 0.006600003, 0.0065824804, 0.0040939646, 0.004039609, 0.004019681]"
"Bolivia_2019_Evo_Morales","Topico_4","['bolivia', 'beni', 'departamento', 'aplausos', 'plurinacional', 'años', 'construcción', 'presidente', 'pobreza', 'hermanos', 'saben', 'ustedes', 'tan', 'homenaje', 'querida', 'rendir', 'ciento', 'saludo', 'extrema', 'morales']","[0.020190509, 0.012294939, 0.012206818, 0.012104268, 0.008385678, 0.008320071, 0.008201275, 0.0063435785, 0.006327644, 0.006252672, 0.006240058, 0.006215619, 0.0061711306, 0.006098473, 0.0060945163, 0.006070837, 0.0044960016, 0.0043440694, 0.004314193, 0.0043086098]"
"Bolivia_2019_Evo_Morales","Topico_5","['aplausos', 'dólares', 'ahora', 'ciento', 'mil', 'hermanos', 'bolivia', 'pib', 'millones', '10', 'tiempos', 'cápita', 'per', 'decirles', 'años', 'vida', 'quiero', 'corrupción', 'presencia', 'pueblo']","[0.011567133, 0.010601118, 0.010457102, 0.010333539, 0.010239742, 0.009194352, 0.008860576, 0.008816534, 0.008761614, 0.008492075, 0.006925935, 0.006881181, 0.0068811467, 0.0068744915, 0.0068164687, 0.0067073423, 0.0058924197, 0.005378252, 0.005310874, 0.0052890736]"
"Bolivia_2019_Evo_Morales","Topico_6","['hermanos', 'hermanas', 'aplausos', 'millones', 'dólares', 'beni', 'trinidad', 'bolivianos', 'bolivianas', 'ciudad', 'quiero', 'decirles', 'homenaje', 'años', 'países', 'hermano', 'afiliados', 'autoridades', 'cemento', 'mando']","[0.013535416, 0.010911342, 0.0092494255, 0.009199228, 0.0091037275, 0.008197096, 0.008169, 0.00816794, 0.008138944, 0.008086887, 0.0056856987, 0.005639209, 0.0056228847, 0.005584015, 0.0055769496, 0.005549808, 0.0055497903, 0.0055497866, 0.005549779, 0.005549779]"
